Header_Identifier,Date_Latest,Metadata_Identifier,Metadata_Identifier_File_ID,URL
oai:commons.swinburne.edu.au:c03827fb-394f-4cd7-b271-cd61495d4893/1,2021-09-09T03:19:16Z,c03827fb-394f-4cd7-b271-cd61495d4893,per004i0020-garden_party_19.jpg,https://commons.swinburne.edu.au/file/per004i0020-garden_party_19.jpg
oai:commons.swinburne.edu.au:eb5c37f0-5613-4780-83bc-619837a65bc9/1,2021-09-09T03:17:48Z,eb5c37f0-5613-4780-83bc-619837a65bc9,per004i0020-garden_party_1.jpg,https://commons.swinburne.edu.au/file/per004i0020-garden_party_1.jpg
oai:commons.swinburne.edu.au:0903ff8d-ddc3-41f9-96b6-928eee4d1bde/1,2021-09-09T03:16:09Z,0903ff8d-ddc3-41f9-96b6-928eee4d1bde,per001i0013-george_swinburne_diary.jpg,https://commons.swinburne.edu.au/file/per001i0013-george_swinburne_diary.jpg
oai:commons.swinburne.edu.au:0903ff8d-ddc3-41f9-96b6-928eee4d1bde/1,2021-09-09T03:16:09Z,0903ff8d-ddc3-41f9-96b6-928eee4d1bde,per001i0013-ss_shannon_passenger_list_8_oct_1886.png,https://commons.swinburne.edu.au/file/per001i0013-ss_shannon_passenger_list_8_oct_1886.png
oai:commons.swinburne.edu.au:cddff188-74af-4036-a4fc-cf0187d16f06/1,2021-09-09T02:48:14Z,cddff188-74af-4036-a4fc-cf0187d16f06,per004i0020-garden_party_2.jpg,https://commons.swinburne.edu.au/file/per004i0020-garden_party_2.jpg
oai:commons.swinburne.edu.au:65b1370e-9036-4275-be1a-4305fd5785aa/1,2021-09-09T02:48:12Z,65b1370e-9036-4275-be1a-4305fd5785aa,cor-green_to_swinburne_1919.jpg,https://commons.swinburne.edu.au/file/cor-green_to_swinburne_1919.jpg
oai:commons.swinburne.edu.au:e8dab624-fa0c-47d8-a88b-066a6d8f9314/1,2021-09-09T02:48:12Z,e8dab624-fa0c-47d8-a88b-066a6d8f9314,cor-green_to_swinburne_1920.jpg,https://commons.swinburne.edu.au/file/cor-green_to_swinburne_1920.jpg
oai:commons.swinburne.edu.au:baa1fda9-5467-4e2a-8fd7-2500533f52ad/1,2021-09-01T01:28:31Z,baa1fda9-5467-4e2a-8fd7-2500533f52ad,per004i0006.jpg,https://commons.swinburne.edu.au/file/per004i0006.jpg
oai:commons.swinburne.edu.au:baa1fda9-5467-4e2a-8fd7-2500533f52ad/1,2021-09-01T01:28:31Z,baa1fda9-5467-4e2a-8fd7-2500533f52ad,per004i0007.jpg,https://commons.swinburne.edu.au/file/per004i0007.jpg
oai:commons.swinburne.edu.au:baa1fda9-5467-4e2a-8fd7-2500533f52ad/1,2021-09-01T01:28:31Z,baa1fda9-5467-4e2a-8fd7-2500533f52ad,per004i0008.jpg,https://commons.swinburne.edu.au/file/per004i0008.jpg
oai:commons.swinburne.edu.au:ccda5839-5f40-4b40-bc6d-ec4057274e4b/1,2021-09-01T01:28:30Z,ccda5839-5f40-4b40-bc6d-ec4057274e4b,per004i0020-garden_party_17.jpg,https://commons.swinburne.edu.au/file/per004i0020-garden_party_17.jpg
oai:commons.swinburne.edu.au:02013436-ab91-46a6-8c11-64f659411271/1,2021-09-01T01:28:29Z,02013436-ab91-46a6-8c11-64f659411271,per-student_teacher_exercise_book_of_ruth_harris_1914-cover.jpg,https://commons.swinburne.edu.au/file/per-student_teacher_exercise_book_of_ruth_harris_1914-cover.jpg
oai:commons.swinburne.edu.au:fb20d0e6-03a6-467c-b06a-421f2ca88509/1,2021-09-01T01:28:28Z,fb20d0e6-03a6-467c-b06a-421f2ca88509,per004i0004.jpg,https://commons.swinburne.edu.au/file/per004i0004.jpg
oai:commons.swinburne.edu.au:8105744c-d285-45be-b267-4e7b0ac175a9/1,2021-09-01T01:28:27Z,8105744c-d285-45be-b267-4e7b0ac175a9,per004i0005.jpg,https://commons.swinburne.edu.au/file/per004i0005.jpg
oai:commons.swinburne.edu.au:0bf30e62-5cdf-45f1-a76f-35975839f962/1,2021-09-01T01:28:27Z,0bf30e62-5cdf-45f1-a76f-35975839f962,per004i0020-garden_party_24.jpg,https://commons.swinburne.edu.au/file/per004i0020-garden_party_24.jpg
oai:commons.swinburne.edu.au:996a3642-df94-4882-8b46-afaf493c55f3/1,2021-09-01T01:28:26Z,996a3642-df94-4882-8b46-afaf493c55f3,per-gaetano_russo_post_diploma_applied_chemistry_1965.jpg,https://commons.swinburne.edu.au/file/per-gaetano_russo_post_diploma_applied_chemistry_1965.jpg
oai:commons.swinburne.edu.au:996a3642-df94-4882-8b46-afaf493c55f3/1,2021-09-01T01:28:26Z,996a3642-df94-4882-8b46-afaf493c55f3,per-gaetano_russo_diploma_chemical_engineering_1965.jpg,https://commons.swinburne.edu.au/file/per-gaetano_russo_diploma_chemical_engineering_1965.jpg
oai:commons.swinburne.edu.au:996a3642-df94-4882-8b46-afaf493c55f3/1,2021-09-01T01:28:26Z,996a3642-df94-4882-8b46-afaf493c55f3,per-gaetano_russo_post_diploma_industrial_management_1966.jpg,https://commons.swinburne.edu.au/file/per-gaetano_russo_post_diploma_industrial_management_1966.jpg
oai:commons.swinburne.edu.au:12adb8d8-c2af-4f6b-b2ee-4d8b4ac25ab0/1,2021-09-01T01:28:26Z,12adb8d8-c2af-4f6b-b2ee-4d8b4ac25ab0,per004i0020-garden_party_21.jpg,https://commons.swinburne.edu.au/file/per004i0020-garden_party_21.jpg
oai:commons.swinburne.edu.au:1e68d755-f417-48ae-b939-71893f8fa503/1,2021-09-01T01:28:25Z,1e68d755-f417-48ae-b939-71893f8fa503,per004i0020-garden_party_10.jpg,https://commons.swinburne.edu.au/file/per004i0020-garden_party_10.jpg
oai:commons.swinburne.edu.au:9a805910-54b2-4930-ad00-59d1bc4dd17c/1,2021-09-01T01:28:24Z,9a805910-54b2-4930-ad00-59d1bc4dd17c,per004i0020-garden_party_14.jpg,https://commons.swinburne.edu.au/file/per004i0020-garden_party_14.jpg
oai:commons.swinburne.edu.au:e2694d2c-ff34-41e1-8613-ac580c5b07f0/1,2021-09-01T01:28:24Z,e2694d2c-ff34-41e1-8613-ac580c5b07f0,per004i0020-garden_party_18.jpg,https://commons.swinburne.edu.au/file/per004i0020-garden_party_18.jpg
oai:commons.swinburne.edu.au:5766283c-b811-420b-b184-676892c4fe07/1,2021-09-01T01:28:23Z,5766283c-b811-420b-b184-676892c4fe07,per004i0020-garden_party_16.jpg,https://commons.swinburne.edu.au/file/per004i0020-garden_party_16.jpg
oai:commons.swinburne.edu.au:cfdceb08-0f62-43ae-8592-70ee36b40e86/1,2021-09-01T01:28:22Z,cfdceb08-0f62-43ae-8592-70ee36b40e86,per004i0020-garden_party_9_2.jpg,https://commons.swinburne.edu.au/file/per004i0020-garden_party_9_2.jpg
