Header_Identifier,Date_Latest,Metadata_Identifier,Metadata_Identifier_Handle_ID,Metadata_Identifier_CMS_ID,Metadata_Identifier_Accession_ID,Metadata_Identifier_File_ID,URL
oai:rosetta.slv.vic.gov.au:IE775541,2021-09-03T21:13:40Z,IE775541,10381/241553,1693407,,FL15606759,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15606759
oai:rosetta.slv.vic.gov.au:IE775544,2021-09-03T21:13:41Z,IE775544,10381/424058,1730651,H98.100/921,FL15872861,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15872861
oai:rosetta.slv.vic.gov.au:IE775547,2021-09-04T15:05:17Z,IE775547,10381/421020,1774902,IAN01/04/95/16b,FL16297257,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16297257
oai:rosetta.slv.vic.gov.au:IE794811,2021-09-03T22:07:24Z,IE794811,10381/236364,1687859,,FL16194929,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16194929
oai:rosetta.slv.vic.gov.au:IE794830,2021-09-03T22:07:28Z,IE794830,10381/4093895,1778084,,FL18911306,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL18911306
oai:rosetta.slv.vic.gov.au:IE7948322,2021-09-03T22:07:29Z,IE7948322,10381/401912,1013576,,FL19120959,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19120959
oai:rosetta.slv.vic.gov.au:IE794836,2021-09-03T22:07:30Z,IE794836,10381/237816,1689326,,FL15607501,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15607501
oai:rosetta.slv.vic.gov.au:IE7948383,2021-09-03T22:07:31Z,IE7948383,10381/399974,1013577,,FL19118428,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19118428
oai:rosetta.slv.vic.gov.au:IE794839,2021-09-03T22:07:31Z,IE794839,10381/4093303,1791764,,FL18910799,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL18910799
oai:rosetta.slv.vic.gov.au:IE79484,2021-09-03T22:07:32Z,IE79484,10381/245957,2571760,,FL15779390,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15779390
oai:rosetta.slv.vic.gov.au:IE794842,2021-09-04T12:19:06Z,IE794842,10381/424509,1788202,,FL15874907,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15874907
